time	I(CL)+I(RL)
7.577383024466950e-04	5.994622e-02
7.578383024466949e-04	5.994623e-02
7.579383024466949e-04	5.994625e-02
7.580383024466948e-04	5.994626e-02
7.581383024466947e-04	5.994627e-02
7.582383024466947e-04	5.994628e-02
7.583383024466946e-04	5.994630e-02
7.584383024466946e-04	5.994631e-02
7.585383024466945e-04	5.994632e-02
7.586383024466945e-04	5.994633e-02
7.587383024466944e-04	5.994634e-02
7.588383024466944e-04	5.994636e-02
7.589383024466943e-04	5.994637e-02
7.590383024466943e-04	5.994638e-02
7.591383024466942e-04	5.994639e-02
7.592383024466942e-04	5.994640e-02
7.593383024466941e-04	5.994642e-02
7.594383024466941e-04	5.994643e-02
7.595383024466940e-04	5.994644e-02
7.596383024466940e-04	5.994645e-02
7.597383024466939e-04	5.994646e-02
7.598383024466939e-04	5.994648e-02
7.599383024466938e-04	5.994649e-02
7.600383024466938e-04	5.994650e-02
7.601383024466937e-04	5.994651e-02
7.602383024466937e-04	5.994653e-02
7.603383024466936e-04	5.994654e-02
7.604383024466936e-04	5.994655e-02
7.605383024466935e-04	5.994656e-02
7.606383024466935e-04	5.994657e-02
7.607383024466934e-04	5.994659e-02
7.608383024466934e-04	5.994660e-02
7.609383024466933e-04	5.994661e-02
7.610383024466932e-04	5.994662e-02
7.611383024466932e-04	5.994663e-02
7.612383024466931e-04	5.994665e-02
7.613383024466931e-04	5.994666e-02
7.614383024466930e-04	5.994667e-02
7.615383024466930e-04	5.994668e-02
7.616383024466929e-04	5.994669e-02
7.617383024466929e-04	5.994671e-02
7.618383024466928e-04	5.994672e-02
7.619383024466928e-04	5.994673e-02
7.620383024466927e-04	5.994674e-02
7.621383024466927e-04	5.994675e-02
7.622383024466926e-04	5.994677e-02
7.623383024466926e-04	5.994678e-02
7.624383024466925e-04	5.994679e-02
7.625383024466925e-04	5.994680e-02
7.626383024466924e-04	5.994681e-02
7.627383024466924e-04	5.994683e-02
7.628383024466923e-04	5.994684e-02
7.629383024466923e-04	5.994685e-02
7.630383024466922e-04	5.994686e-02
7.631383024466922e-04	5.994687e-02
7.632383024466921e-04	5.994689e-02
7.633383024466921e-04	5.994690e-02
7.634383024466920e-04	5.994691e-02
7.635383024466920e-04	5.994692e-02
7.636383024466919e-04	5.994693e-02
7.637383024466918e-04	5.994694e-02
7.638383024466918e-04	5.994696e-02
7.639383024466917e-04	5.994697e-02
7.640383024466917e-04	5.994698e-02
7.641383024466916e-04	5.994699e-02
7.642383024466916e-04	5.994700e-02
7.643383024466915e-04	5.994702e-02
7.644383024466915e-04	5.994703e-02
7.645383024466914e-04	5.994704e-02
7.646383024466914e-04	5.994705e-02
7.647383024466913e-04	5.994706e-02
7.648383024466913e-04	5.994708e-02
7.649383024466912e-04	5.994709e-02
7.650383024466912e-04	5.994710e-02
7.651383024466911e-04	5.994711e-02
7.652383024466911e-04	5.994712e-02
7.653383024466910e-04	5.994713e-02
7.654383024466910e-04	5.994715e-02
7.655383024466909e-04	5.994716e-02
7.656383024466909e-04	5.994717e-02
7.657383024466908e-04	5.994718e-02
7.658383024466908e-04	5.994719e-02
7.659383024466907e-04	5.994721e-02
7.660383024466907e-04	5.994722e-02
7.661383024466906e-04	5.994723e-02
7.662383024466906e-04	5.994724e-02
7.663383024466905e-04	5.994725e-02
7.664383024466905e-04	5.994726e-02
7.665383024466904e-04	5.994728e-02
7.666383024466903e-04	5.994729e-02
7.667383024466903e-04	5.994730e-02
7.668383024466902e-04	5.994731e-02
7.669383024466902e-04	5.994732e-02
7.670383024466901e-04	5.994734e-02
7.671383024466901e-04	5.994735e-02
7.672383024466900e-04	5.994736e-02
7.673383024466900e-04	5.994737e-02
7.674383024466899e-04	5.994739e-02
7.675383024466899e-04	5.994740e-02
7.676383024466898e-04	5.994741e-02
7.677383024466898e-04	5.994742e-02
7.678383024466897e-04	5.994743e-02
7.679383024466897e-04	5.994745e-02
7.680383024466896e-04	5.994746e-02
7.681383024466896e-04	5.994747e-02
7.682383024466895e-04	5.994748e-02
7.683383024466895e-04	5.994749e-02
7.684383024466894e-04	5.994750e-02
7.685383024466894e-04	5.994752e-02
7.686383024466893e-04	5.994753e-02
7.687383024466893e-04	5.994754e-02
7.688383024466892e-04	5.994755e-02
7.689383024466892e-04	5.994756e-02
7.690383024466891e-04	5.994758e-02
7.691383024466891e-04	5.994759e-02
7.692383024466890e-04	5.994760e-02
7.693383024466889e-04	5.994761e-02
7.694383024466889e-04	5.994762e-02
7.695383024466888e-04	5.994763e-02
7.696383024466888e-04	5.994765e-02
7.697383024466887e-04	5.994766e-02
7.698383024466887e-04	5.994767e-02
7.699383024466886e-04	5.994768e-02
7.700383024466886e-04	5.994769e-02
7.701383024466885e-04	5.994770e-02
7.702383024466885e-04	5.994772e-02
7.703383024466884e-04	5.994773e-02
7.704383024466884e-04	5.994774e-02
7.705383024466883e-04	5.994775e-02
7.706383024466883e-04	5.994776e-02
7.707383024466882e-04	5.994777e-02
7.708383024466882e-04	5.994779e-02
7.709383024466881e-04	5.994780e-02
7.710383024466881e-04	5.994781e-02
7.711383024466880e-04	5.994782e-02
7.712383024466880e-04	5.994783e-02
7.713383024466879e-04	5.994785e-02
7.714383024466879e-04	5.994786e-02
7.715383024466878e-04	5.994787e-02
7.716383024466878e-04	5.994788e-02
7.717383024466877e-04	5.994789e-02
7.718383024466877e-04	5.994791e-02
7.719383024466876e-04	5.994792e-02
7.720383024466876e-04	5.994793e-02
7.721383024466875e-04	5.994794e-02
7.722383024466874e-04	5.994795e-02
7.723383024466874e-04	5.994797e-02
7.724383024466873e-04	5.994798e-02
7.725383024466873e-04	5.994799e-02
7.726383024466872e-04	5.994800e-02
7.727383024466872e-04	5.994801e-02
7.728383024466871e-04	5.994802e-02
7.729383024466871e-04	5.994803e-02
7.730383024466870e-04	5.994805e-02
7.731383024466870e-04	5.994806e-02
7.732383024466869e-04	5.994807e-02
7.733383024466869e-04	5.994808e-02
7.734383024466868e-04	5.994809e-02
7.735383024466868e-04	5.994810e-02
