time	I(CL)+I(RL)
1.862977989730069e-03	-5.887381e-02
1.863077989730069e-03	-5.887378e-02
1.863177989730070e-03	-5.887375e-02
1.863277989730070e-03	-5.887372e-02
1.863377989730070e-03	-5.887369e-02
1.863477989730070e-03	-5.887365e-02
1.863577989730070e-03	-5.887363e-02
1.863677989730070e-03	-5.887359e-02
1.863777989730070e-03	-5.887356e-02
1.863877989730070e-03	-5.887353e-02
1.863977989730070e-03	-5.887350e-02
1.864077989730070e-03	-5.887347e-02
1.864177989730070e-03	-5.887344e-02
1.864277989730070e-03	-5.887340e-02
1.864377989730070e-03	-5.887337e-02
1.864477989730070e-03	-5.887335e-02
1.864577989730070e-03	-5.887331e-02
1.864677989730070e-03	-5.887328e-02
1.864777989730070e-03	-5.887325e-02
1.864877989730070e-03	-5.887322e-02
1.864977989730071e-03	-5.887319e-02
1.865077989730071e-03	-5.887316e-02
1.865177989730071e-03	-5.887312e-02
1.865277989730071e-03	-5.887309e-02
1.865377989730071e-03	-5.887306e-02
1.865477989730071e-03	-5.887303e-02
1.865577989730071e-03	-5.887300e-02
1.865677989730071e-03	-5.887297e-02
1.865777989730071e-03	-5.887294e-02
1.865877989730071e-03	-5.887291e-02
1.865977989730071e-03	-5.887288e-02
1.866077989730071e-03	-5.887284e-02
1.866177989730071e-03	-5.887281e-02
1.866277989730071e-03	-5.887278e-02
1.866377989730071e-03	-5.887275e-02
1.866477989730071e-03	-5.887272e-02
1.866577989730071e-03	-5.887269e-02
1.866677989730072e-03	-5.887266e-02
1.866777989730072e-03	-5.887263e-02
1.866877989730072e-03	-5.887260e-02
1.866977989730072e-03	-5.887257e-02
1.867077989730072e-03	-5.887253e-02
1.867177989730072e-03	-5.887250e-02
1.867277989730072e-03	-5.887247e-02
1.867377989730072e-03	-5.887244e-02
1.867477989730072e-03	-5.887241e-02
1.867577989730072e-03	-5.887238e-02
1.867677989730072e-03	-5.887235e-02
1.867777989730072e-03	-5.887232e-02
1.867877989730072e-03	-5.887229e-02
1.867977989730072e-03	-5.887226e-02
1.868077989730072e-03	-5.887222e-02
1.868177989730072e-03	-5.887219e-02
1.868277989730072e-03	-5.887216e-02
1.868377989730072e-03	-5.887213e-02
1.868477989730073e-03	-5.887210e-02
1.868577989730073e-03	-5.887207e-02
1.868677989730073e-03	-5.887204e-02
1.868777989730073e-03	-5.887201e-02
1.868877989730073e-03	-5.887198e-02
1.868977989730073e-03	-5.887195e-02
1.869077989730073e-03	-5.887192e-02
1.869177989730073e-03	-5.887188e-02
1.869277989730073e-03	-5.887185e-02
1.869377989730073e-03	-5.887182e-02
1.869477989730073e-03	-5.887179e-02
1.869577989730073e-03	-5.887176e-02
1.869677989730073e-03	-5.887173e-02
1.869777989730073e-03	-5.887170e-02
1.869877989730073e-03	-5.887167e-02
1.869977989730073e-03	-5.887164e-02
1.870077989730073e-03	-5.887161e-02
1.870177989730073e-03	-5.887158e-02
1.870277989730074e-03	-5.887154e-02
1.870377989730074e-03	-5.887151e-02
1.870477989730074e-03	-5.887148e-02
1.870577989730074e-03	-5.887145e-02
1.870677989730074e-03	-5.887142e-02
1.870777989730074e-03	-5.887139e-02
1.870877989730074e-03	-5.887136e-02
1.870977989730074e-03	-5.887133e-02
1.871077989730074e-03	-5.887130e-02
1.871177989730074e-03	-5.887127e-02
1.871277989730074e-03	-5.887124e-02
1.871377989730074e-03	-5.887121e-02
1.871477989730074e-03	-5.887118e-02
1.871577989730074e-03	-5.887114e-02
1.871677989730074e-03	-5.887111e-02
1.871777989730074e-03	-5.887108e-02
1.871877989730074e-03	-5.887105e-02
1.871977989730075e-03	-5.887102e-02
1.872077989730075e-03	-5.887099e-02
1.872177989730075e-03	-5.887096e-02
1.872277989730075e-03	-5.887093e-02
1.872377989730075e-03	-5.887090e-02
1.872477989730075e-03	-5.887087e-02
1.872577989730075e-03	-5.887084e-02
1.872677989730075e-03	-5.887081e-02
1.872777989730075e-03	-5.887078e-02
1.872877989730075e-03	-5.887074e-02
1.872977989730075e-03	-5.887071e-02
1.873077989730075e-03	-5.887068e-02
1.873177989730075e-03	-5.887065e-02
1.873277989730075e-03	-5.887062e-02
1.873377989730075e-03	-5.887059e-02
1.873477989730075e-03	-5.887056e-02
1.873577989730075e-03	-5.887053e-02
1.873677989730075e-03	-5.887050e-02
1.873777989730076e-03	-5.887047e-02
1.873877989730076e-03	-5.887044e-02
1.873977989730076e-03	-5.887041e-02
1.874077989730076e-03	-5.887038e-02
1.874177989730076e-03	-5.887035e-02
