Freq.	-V(Vr)/V(Vf)
Step Information: Cl=400p  (Step: 1/15)
2.00000000000000e+07	(-1.64836012463018e+01dB,1.77383870712036e+02°)
Step Information: Cl=600p  (Step: 2/15)
2.00000000000000e+01	(1.11728009300009e+02dB,-8.96195225080242e+01°)
2.51785082358833e+01	(1.09728080041735e+02dB,-8.96978568023356e+01°)
3.16978638492223e+01	(1.07728124677325e+02dB,-8.97601021203515e+01°)
3.99052462993776e+01	(1.05728152840680e+02dB,-8.98095726223751e+01°)
5.02377286301916e+01	(1.03728170610608e+02dB,-8.98489024961853e+01°)
6.32455532033676e+01	(1.01728181822630e+02dB,-8.98801860233519e+01°)
7.96214341106995e+01	(9.97281888968273e+01dB,-8.99050890986650e+01°)
1.00237446725454e+02	(9.77281933601540e+01dB,-8.99249378613020e+01°)
1.26191468896039e+02	(9.57281961760138e+01dB,-8.99407893145535e+01°)
1.58865646944856e+02	(9.37281979522116e+01dB,-8.99534875913250e+01°)
2.00000000000000e+02	(9.17281990721337e+01dB,-8.99637089175622e+01°)
2.51785082358834e+02	(8.97281997775200e+01dB,-8.99719976133860e+01°)
3.16978638492223e+02	(8.77282002206266e+01dB,-8.99787950812149e+01°)
3.99052462993776e+02	(8.57282004970967e+01dB,-8.99844633111648e+01°)
5.02377286301916e+02	(8.37282006666088e+01dB,-8.99893041550148e+01°)
6.32455532033676e+02	(8.17282007657534e+01dB,-8.99935754069830e+01°)
7.96214341106995e+02	(7.97282008159262e+01dB,-8.99975045259478e+01°)
1.00237446725455e+03	(7.77282008279607e+01dB,-9.00013007515196e+01°)
1.26191468896039e+03	(7.57282008044550e+01dB,-9.00051662471829e+01°)
1.58865646944856e+03	(7.37282007403317e+01dB,-9.00093068641558e+01°)
2.00000000000000e+03	(7.17282006217543e+01dB,-9.00139431054809e+01°)
2.51785082358834e+03	(6.97282004231245e+01dB,-9.00193218677204e+01°)
3.16978638492223e+03	(6.77282001015681e+01dB,-9.00257295892697e+01°)
3.99052462993776e+03	(6.57281995876807e+01dB,-9.00335075041021e+01°)
5.02377286301917e+03	(6.37281987705323e+01dB,-9.00430698133134e+01°)
6.32455532033677e+03	(6.17281974737501e+01dB,-9.00549257424731e+01°)
7.96214341106996e+03	(5.97281954174226e+01dB,-9.00697066582796e+01°)
1.00237446725455e+04	(5.77281921576940e+01dB,-9.00881996890448e+01°)
1.26191468896039e+04	(5.57281869909681e+01dB,-9.01113896374489e+01°)
1.58865646944857e+04	(5.37281788020414e+01dB,-9.01405114155312e+01°)
2.00000000000000e+04	(5.17281658234233e+01dB,-9.01771157898173e+01°)
2.51785082358834e+04	(4.97281452539094e+01dB,-9.02231519284194e+01°)
3.16978638492223e+04	(4.77281126541544e+01dB,-9.02810711276922e+01°)
3.99052462993777e+04	(4.57280609889801e+01dB,-9.03539572059280e+01°)
5.02377286301917e+04	(4.37279791101873e+01dB,-9.04456904351676e+01°)
6.32455532033677e+04	(4.17278493536221e+01dB,-9.05611535962976e+01°)
7.96214341106996e+04	(3.97276437349183e+01dB,-9.07064908421959e+01°)
1.00237446725455e+05	(3.77273179304923e+01dB,-9.08894325815882e+01°)
1.26191468896039e+05	(3.57268017639029e+01dB,-9.11197025495114e+01°)
1.58865646944857e+05	(3.37259841920531e+01dB,-9.14095265011495e+01°)
2.00000000000000e+05	(3.17246896692162e+01dB,-9.17742652211335e+01°)
2.51785082358834e+05	(2.97226410773380e+01dB,-9.22331970128546e+01°)
3.16978638492223e+05	(2.77194019229166e+01dB,-9.28104749795245e+01°)
3.99052462993777e+05	(2.57142869751969e+01dB,-9.35362794768769e+01°)
5.02377286301917e+05	(2.37062258127530e+01dB,-9.44481718313681e+01°)
6.32455532033677e+05	(2.16935578870757e+01dB,-9.55926264055454e+01°)
7.96214341106997e+05	(1.96737307357014e+01dB,-9.70266693416485e+01°)
1.00237446725455e+06	(1.76428636990168e+01dB,-9.88194772312521e+01°)
1.26191468896039e+06	(1.55951236149378e+01dB,-1.01053654191432e+02°)
1.58865646944857e+06	(1.35218340505387e+01dB,-1.03825575038479e+02°)
2.00000000000001e+06	(1.14102369121963e+01dB,-1.07243368846611e+02°)
2.51785082358834e+06	(9.24196144123784e+00dB,-1.11419726827839e+02°)
3.16978638492224e+06	(6.99169409767848e+00dB,-1.16455747743757e+02°)
3.99052462993777e+06	(4.62727038074366e+00dB,-1.22413905005578e+02°)
5.02377286301918e+06	(2.11300986575252e+00dB,-1.29285368335818e+02°)
6.32455532033678e+06	(-5.82269550741134e-01dB,-1.36969004747643e+02°)
7.96214341106997e+06	(-3.47333127467195e+00dB,-1.45288749170265e+02°)
1.00237446725455e+07	(-6.54651504928052e+00dB,-1.54067734151691e+02°)
1.26191468896039e+07	(-9.75130185489211e+00dB,-1.63249582422393e+02°)
1.58865646944857e+07	(-1.29926461305495e+01dB,-1.73040376481223e+02°)
2.00000000000000e+07	(-1.61118544909522e+01dB,1.75928222962367e+02°)
Step Information: Cl=1n  (Step: 3/15)
2.00000000000000e+01	(1.11728009300007e+02dB,-8.96195239557288e+01°)
2.51785082358833e+01	(1.09728080041736e+02dB,-8.96978586262669e+01°)
3.16978638492223e+01	(1.07728124677330e+02dB,-8.97601044220986e+01°)
3.99052462993776e+01	(1.05728152840684e+02dB,-8.98095755150488e+01°)
5.02377286301916e+01	(1.03728170610612e+02dB,-8.98489061374423e+01°)
6.32455532033676e+01	(1.01728181822635e+02dB,-8.98801906074590e+01°)
7.96214341106995e+01	(9.97281888968387e+01dB,-8.99050948700546e+01°)
1.00237446725454e+02	(9.77281933601704e+01dB,-8.99249451285880e+01°)
