time	V(vout)
1.718066079462747e-03	-2.499539e+00
1.718166079462748e-03	-2.499539e+00
1.718266079462748e-03	-2.499539e+00
1.718366079462748e-03	-2.499539e+00
1.718466079462748e-03	-2.499539e+00
1.718566079462748e-03	-2.499539e+00
1.718666079462748e-03	-2.499539e+00
1.718766079462748e-03	-2.499539e+00
1.718866079462748e-03	-2.499539e+00
1.718966079462748e-03	-2.499539e+00
1.719066079462748e-03	-2.499539e+00
1.719166079462748e-03	-2.499539e+00
1.719266079462748e-03	-2.499539e+00
1.719366079462748e-03	-2.499539e+00
1.719466079462748e-03	-2.499539e+00
1.719566079462748e-03	-2.499539e+00
1.719666079462748e-03	-2.499539e+00
1.719766079462748e-03	-2.499539e+00
1.719866079462748e-03	-2.499539e+00
1.719966079462749e-03	-2.499539e+00
1.720066079462749e-03	-2.499539e+00
1.720166079462749e-03	-2.499539e+00
1.720266079462749e-03	-2.499539e+00
1.720366079462749e-03	-2.499539e+00
1.720466079462749e-03	-2.499539e+00
1.720566079462749e-03	-2.499539e+00
1.720666079462749e-03	-2.499539e+00
1.720766079462749e-03	-2.499539e+00
1.720866079462749e-03	-2.499539e+00
1.720966079462749e-03	-2.499539e+00
1.721066079462749e-03	-2.499539e+00
1.721166079462749e-03	-2.499539e+00
1.721266079462749e-03	-2.499539e+00
1.721366079462749e-03	-2.499539e+00
1.721466079462749e-03	-2.499539e+00
1.721566079462749e-03	-2.499539e+00
1.721666079462749e-03	-2.499539e+00
1.721766079462750e-03	-2.499539e+00
1.721866079462750e-03	-2.499539e+00
1.721966079462750e-03	-2.499539e+00
1.722066079462750e-03	-2.499539e+00
1.722166079462750e-03	-2.499539e+00
1.722266079462750e-03	-2.499539e+00
1.722366079462750e-03	-2.499539e+00
1.722466079462750e-03	-2.499539e+00
1.722566079462750e-03	-2.499539e+00
1.722666079462750e-03	-2.499539e+00
1.722766079462750e-03	-2.499539e+00
1.722866079462750e-03	-2.499539e+00
1.722966079462750e-03	-2.499539e+00
1.723066079462750e-03	-2.499539e+00
1.723166079462750e-03	-2.499539e+00
1.723266079462750e-03	-2.499539e+00
1.723366079462750e-03	-2.499539e+00
1.723466079462751e-03	-2.499539e+00
1.723566079462751e-03	-2.499539e+00
1.723666079462751e-03	-2.499539e+00
1.723766079462751e-03	-2.499539e+00
1.723866079462751e-03	-2.499539e+00
1.723966079462751e-03	-2.499539e+00
1.724066079462751e-03	-2.499539e+00
1.724166079462751e-03	-2.499539e+00
1.724266079462751e-03	-2.499539e+00
1.724366079462751e-03	-2.499539e+00
1.724466079462751e-03	-2.499539e+00
1.724566079462751e-03	-2.499539e+00
1.724666079462751e-03	-2.499539e+00
1.724766079462751e-03	-2.499539e+00
1.724866079462751e-03	-2.499539e+00
1.724966079462751e-03	-2.499539e+00
1.725066079462751e-03	-2.499539e+00
1.725166079462751e-03	-2.499539e+00
1.725266079462752e-03	-2.499539e+00
1.725366079462752e-03	-2.499539e+00
1.725466079462752e-03	-2.499539e+00
1.725566079462752e-03	-2.499539e+00
1.725666079462752e-03	-2.499539e+00
1.725766079462752e-03	-2.499539e+00
1.725866079462752e-03	-2.499539e+00
1.725966079462752e-03	-2.499539e+00
1.726066079462752e-03	-2.499539e+00
1.726166079462752e-03	-2.499539e+00
1.726266079462752e-03	-2.499539e+00
1.726366079462752e-03	-2.499539e+00
1.726466079462752e-03	-2.499539e+00
1.726566079462752e-03	-2.499539e+00
1.726666079462752e-03	-2.499539e+00
1.726766079462752e-03	-2.499539e+00
1.726866079462752e-03	-2.499539e+00
1.726966079462752e-03	-2.499539e+00
1.727066079462753e-03	-2.499539e+00
1.727166079462753e-03	-2.499539e+00
1.727266079462753e-03	-2.499539e+00
1.727366079462753e-03	-2.499539e+00
1.727466079462753e-03	-2.499539e+00
1.727566079462753e-03	-2.499539e+00
1.727666079462753e-03	-2.499539e+00
1.727766079462753e-03	-2.499539e+00
1.727866079462753e-03	-2.499539e+00
1.727966079462753e-03	-2.499539e+00
1.728066079462753e-03	-2.499539e+00
1.728166079462753e-03	-2.499539e+00
1.728266079462753e-03	-2.499539e+00
1.728366079462753e-03	-2.499539e+00
1.728466079462753e-03	-2.499539e+00
1.728566079462753e-03	-2.499539e+00
1.728666079462753e-03	-2.499539e+00
1.728766079462754e-03	-2.499539e+00
1.728866079462754e-03	-2.499539e+00
1.728966079462754e-03	-2.499539e+00
1.729066079462754e-03	-2.499539e+00
1.729166079462754e-03	-2.499539e+00
1.729266079462754e-03	-2.499539e+00
1.729366079462754e-03	-2.499539e+00
1.729466079462754e-03	-2.499539e+00
1.729566079462754e-03	-2.499539e+00
1.729666079462754e-03	-2.499539e+00
1.729766079462754e-03	-2.499539e+00
1.729866079462754e-03	-2.499539e+00
1.729966079462754e-03	-2.499539e+00
1.730066079462754e-03	-2.499539e+00
1.730166079462754e-03	-2.499539e+00
1.730266079462754e-03	-2.499539e+00
1.730366079462754e-03	-2.499539e+00
1.730466079462754e-03	-2.499539e+00
1.730566079462755e-03	-2.499539e+00
1.730666079462755e-03	-2.499539e+00
1.730766079462755e-03	-2.499539e+00
1.730866079462755e-03	-2.499539e+00
1.730966079462755e-03	-2.499539e+00
1.731066079462755e-03	-2.499539e+00
1.731166079462755e-03	-2.499539e+00
1.731266079462755e-03	-2.499539e+00
1.731366079462755e-03	-2.499539e+00
1.731466079462755e-03	-2.499539e+00
1.731566079462755e-03	-2.499539e+00
1.731666079462755e-03	-2.499539e+00
1.731766079462755e-03	-2.499539e+00
1.731866079462755e-03	-2.499539e+00
1.731966079462755e-03	-2.499539e+00
1.732066079462755e-03	-2.499539e+00
1.732166079462755e-03	-2.499539e+00
1.732266079462755e-03	-2.499539e+00
1.732366079462756e-03	-2.499539e+00
1.732466079462756e-03	-2.499539e+00
1.732566079462756e-03	-2.499539e+00
1.732666079462756e-03	-2.499539e+00
1.732766079462756e-03	-2.499539e+00
1.732866079462756e-03	-2.499539e+00
1.732966079462756e-03	-2.499539e+00
1.733066079462756e-03	-2.499539e+00
1.733166079462756e-03	-2.499539e+00
1.733266079462756e-03	-2.499539e+00
1.733366079462756e-03	-2.499539e+00
1.733466079462756e-03	-2.499539e+00
1.733566079462756e-03	-2.499539e+00
1.733666079462756e-03	-2.499539e+00
1.733766079462756e-03	-2.499539e+00
1.733866079462756e-03	-2.499539e+00
1.733966079462756e-03	-2.499539e+00
