time	V(vout)
1.752337743426272e-03	-2.499539e+00
1.752437743426272e-03	-2.499539e+00
1.752537743426272e-03	-2.499539e+00
1.752637743426272e-03	-2.499539e+00
1.752737743426272e-03	-2.499539e+00
1.752837743426273e-03	-2.499539e+00
1.752937743426273e-03	-2.499539e+00
1.753037743426273e-03	-2.499539e+00
1.753137743426273e-03	-2.499539e+00
1.753237743426273e-03	-2.499539e+00
1.753337743426273e-03	-2.499539e+00
1.753437743426273e-03	-2.499539e+00
1.753537743426273e-03	-2.499539e+00
1.753637743426273e-03	-2.499539e+00
1.753737743426273e-03	-2.499539e+00
1.753837743426273e-03	-2.499539e+00
1.753937743426273e-03	-2.499539e+00
1.754037743426273e-03	-2.499539e+00
1.754137743426273e-03	-2.499539e+00
1.754237743426273e-03	-2.499539e+00
1.754337743426273e-03	-2.499539e+00
1.754437743426273e-03	-2.499539e+00
1.754537743426273e-03	-2.499539e+00
1.754637743426274e-03	-2.499539e+00
1.754737743426274e-03	-2.499539e+00
1.754837743426274e-03	-2.499539e+00
1.754937743426274e-03	-2.499539e+00
1.755037743426274e-03	-2.499539e+00
1.755137743426274e-03	-2.499539e+00
1.755237743426274e-03	-2.499539e+00
1.755337743426274e-03	-2.499539e+00
1.755437743426274e-03	-2.499539e+00
1.755537743426274e-03	-2.499539e+00
1.755637743426274e-03	-2.499539e+00
1.755737743426274e-03	-2.499539e+00
1.755837743426274e-03	-2.499539e+00
1.755937743426274e-03	-2.499539e+00
1.756037743426274e-03	-2.499539e+00
1.756137743426274e-03	-2.499539e+00
1.756237743426274e-03	-2.499539e+00
1.756337743426274e-03	-2.499539e+00
1.756437743426275e-03	-2.499539e+00
1.756537743426275e-03	-2.499539e+00
1.756637743426275e-03	-2.499539e+00
1.756737743426275e-03	-2.499539e+00
1.756837743426275e-03	-2.499539e+00
1.756937743426275e-03	-2.499539e+00
1.757037743426275e-03	-2.499539e+00
1.757137743426275e-03	-2.499539e+00
1.757237743426275e-03	-2.499539e+00
1.757337743426275e-03	-2.499539e+00
1.757437743426275e-03	-2.499539e+00
1.757537743426275e-03	-2.499539e+00
1.757637743426275e-03	-2.499539e+00
1.757737743426275e-03	-2.499539e+00
1.757837743426275e-03	-2.499539e+00
1.757937743426275e-03	-2.499539e+00
1.758037743426275e-03	-2.499539e+00
1.758137743426276e-03	-2.499539e+00
1.758237743426276e-03	-2.499539e+00
1.758337743426276e-03	-2.499539e+00
1.758437743426276e-03	-2.499539e+00
1.758537743426276e-03	-2.499539e+00
1.758637743426276e-03	-2.499539e+00
1.758737743426276e-03	-2.499539e+00
1.758837743426276e-03	-2.499539e+00
1.758937743426276e-03	-2.499539e+00
1.759037743426276e-03	-2.499539e+00
1.759137743426276e-03	-2.499539e+00
1.759237743426276e-03	-2.499539e+00
1.759337743426276e-03	-2.499539e+00
1.759437743426276e-03	-2.499539e+00
1.759537743426276e-03	-2.499539e+00
1.759637743426276e-03	-2.499539e+00
1.759737743426276e-03	-2.499539e+00
1.759837743426276e-03	-2.499539e+00
1.759937743426277e-03	-2.499539e+00
1.760037743426277e-03	-2.499539e+00
1.760137743426277e-03	-2.499539e+00
1.760237743426277e-03	-2.499539e+00
1.760337743426277e-03	-2.499539e+00
1.760437743426277e-03	-2.499539e+00
1.760537743426277e-03	-2.499539e+00
1.760637743426277e-03	-2.499539e+00
1.760737743426277e-03	-2.499539e+00
1.760837743426277e-03	-2.499539e+00
1.760937743426277e-03	-2.499539e+00
1.761037743426277e-03	-2.499539e+00
1.761137743426277e-03	-2.499539e+00
1.761237743426277e-03	-2.499539e+00
1.761337743426277e-03	-2.499539e+00
1.761437743426277e-03	-2.499539e+00
1.761537743426277e-03	-2.499539e+00
1.761637743426277e-03	-2.499539e+00
1.761737743426278e-03	-2.499539e+00
1.761837743426278e-03	-2.499539e+00
1.761937743426278e-03	-2.499539e+00
1.762037743426278e-03	-2.499539e+00
1.762137743426278e-03	-2.499539e+00
1.762237743426278e-03	-2.499539e+00
1.762337743426278e-03	-2.499539e+00
1.762437743426278e-03	-2.499539e+00
1.762537743426278e-03	-2.499539e+00
1.762637743426278e-03	-2.499539e+00
1.762737743426278e-03	-2.499539e+00
1.762837743426278e-03	-2.499539e+00
1.762937743426278e-03	-2.499539e+00
1.763037743426278e-03	-2.499539e+00
1.763137743426278e-03	-2.499539e+00
1.763237743426278e-03	-2.499539e+00
1.763337743426278e-03	-2.499539e+00
1.763437743426279e-03	-2.499539e+00
1.763537743426279e-03	-2.499539e+00
1.763637743426279e-03	-2.499539e+00
1.763737743426279e-03	-2.499539e+00
1.763837743426279e-03	-2.499539e+00
1.763937743426279e-03	-2.499539e+00
1.764037743426279e-03	-2.499539e+00
1.764137743426279e-03	-2.499539e+00
1.764237743426279e-03	-2.499539e+00
1.764337743426279e-03	-2.499539e+00
1.764437743426279e-03	-2.499539e+00
1.764537743426279e-03	-2.499539e+00
1.764637743426279e-03	-2.499539e+00
1.764737743426279e-03	-2.499539e+00
1.764837743426279e-03	-2.499539e+00
1.764937743426279e-03	-2.499539e+00
1.765037743426279e-03	-2.499539e+00
1.765137743426279e-03	-2.499539e+00
1.765237743426280e-03	-2.499539e+00
1.765337743426280e-03	-2.499539e+00
1.765437743426280e-03	-2.499539e+00
1.765537743426280e-03	-2.499539e+00
1.765637743426280e-03	-2.499539e+00
1.765737743426280e-03	-2.499539e+00
1.765837743426280e-03	-2.499539e+00
1.765937743426280e-03	-2.499539e+00
1.766037743426280e-03	-2.499539e+00
1.766137743426280e-03	-2.499539e+00
1.766237743426280e-03	-2.499539e+00
1.766337743426280e-03	-2.499539e+00
1.766437743426280e-03	-2.499539e+00
1.766537743426280e-03	-2.499539e+00
1.766637743426280e-03	-2.499539e+00
1.766737743426280e-03	-2.499539e+00
1.766837743426280e-03	-2.499539e+00
1.766937743426280e-03	-2.499539e+00
1.767037743426281e-03	-2.499539e+00
1.767137743426281e-03	-2.499539e+00
1.767237743426281e-03	-2.499539e+00
1.767337743426281e-03	-2.499539e+00
1.767437743426281e-03	-2.499539e+00
1.767537743426281e-03	-2.499539e+00
1.767637743426281e-03	-2.499539e+00
1.767737743426281e-03	-2.499539e+00
1.767837743426281e-03	-2.499539e+00
1.767937743426281e-03	-2.499539e+00
1.768037743426281e-03	-2.499539e+00
1.768137743426281e-03	-2.499539e+00
1.768237743426281e-03	-2.499539e+00
1.768337743426281e-03	-2.499539e+00
1.768437743426281e-03	-2.499539e+00
1.768537743426281e-03	-2.499539e+00
1.768637743426281e-03	-2.499539e+00
1.768737743426282e-03	-2.499539e+00
1.768837743426282e-03	-2.499539e+00
1.768937743426282e-03	-2.499539e+00
1.769037743426282e-03	-2.499539e+00
1.769137743426282e-03	-2.499539e+00
1.769237743426282e-03	-2.499539e+00
1.769337743426282e-03	-2.499539e+00
1.769437743426282e-03	-2.499539e+00
1.769537743426282e-03	-2.499539e+00
1.769637743426282e-03	-2.499539e+00
1.769737743426282e-03	-2.499539e+00
1.769837743426282e-03	-2.499539e+00
1.769937743426282e-03	-2.499539e+00
1.770037743426282e-03	-2.499539e+00
1.770137743426282e-03	-2.499539e+00
1.770237743426282e-03	-2.499539e+00
1.770337743426282e-03	-2.499539e+00
1.770437743426282e-03	-2.499539e+00
1.770537743426283e-03	-2.499539e+00
1.770637743426283e-03	-2.499539e+00
1.770737743426283e-03	-2.499539e+00
1.770837743426283e-03	-2.499539e+00
1.770937743426283e-03	-2.499539e+00
1.771037743426283e-03	-2.499539e+00
1.771137743426283e-03	-2.499539e+00
1.771237743426283e-03	-2.499539e+00
1.771337743426283e-03	-2.499539e+00
1.771437743426283e-03	-2.499539e+00
1.771537743426283e-03	-2.499539e+00
1.771637743426283e-03	-2.499539e+00
1.771737743426283e-03	-2.499539e+00
1.771837743426283e-03	-2.499539e+00
1.771937743426283e-03	-2.499539e+00
1.772037743426283e-03	-2.499539e+00
1.772137743426283e-03	-2.499539e+00
1.772237743426283e-03	-2.499539e+00
1.772337743426284e-03	-2.499539e+00
1.772437743426284e-03	-2.499539e+00
1.772537743426284e-03	-2.499539e+00
1.772637743426284e-03	-2.499539e+00
1.772737743426284e-03	-2.499539e+00
1.772837743426284e-03	-2.499539e+00
1.772937743426284e-03	-2.499539e+00
1.773037743426284e-03	-2.499539e+00
1.773137743426284e-03	-2.499539e+00
1.773237743426284e-03	-2.499539e+00
1.773337743426284e-03	-2.499539e+00
1.773437743426284e-03	-2.499539e+00
1.773537743426284e-03	-2.499539e+00
1.773637743426284e-03	-2.499539e+00
1.773737743426284e-03	-2.499539e+00
1.773837743426284e-03	-2.499539e+00
1.773937743426284e-03	-2.499539e+00
1.774037743426285e-03	-2.499539e+00
1.774137743426285e-03	-2.499539e+00
1.774237743426285e-03	-2.499539e+00
1.774337743426285e-03	-2.499539e+00
1.774437743426285e-03	-2.499539e+00
1.774537743426285e-03	-2.499539e+00
1.774637743426285e-03	-2.499539e+00
1.774737743426285e-03	-2.499539e+00
1.774837743426285e-03	-2.499539e+00
1.774937743426285e-03	-2.499539e+00
1.775037743426285e-03	-2.499539e+00
1.775137743426285e-03	-2.499539e+00
1.775237743426285e-03	-2.499539e+00
1.775337743426285e-03	-2.499539e+00
1.775437743426285e-03	-2.499539e+00
1.775537743426285e-03	-2.499539e+00
1.775637743426285e-03	-2.499539e+00
1.775737743426285e-03	-2.499539e+00
1.775837743426286e-03	-2.499539e+00
1.775937743426286e-03	-2.499539e+00
1.776037743426286e-03	-2.499539e+00
1.776137743426286e-03	-2.499539e+00
1.776237743426286e-03	-2.499539e+00
1.776337743426286e-03	-2.499539e+00
1.776437743426286e-03	-2.499539e+00
