Freq.	-V(Vr)/V(Vf)
Step Information: Cl=400p  (Step: 1/15)
5.02377286301916e+01	(1.03728170554458e+02dB,-8.98522844937861e+01°)
6.32455532033676e+01	(1.01728181739384e+02dB,-8.98844437122188e+01°)
7.96214341106995e+01	(9.97281887706695e+01dB,-8.99104492142399e+01°)
1.00237446725454e+02	(9.77281931659882e+01dB,-8.99316858474250e+01°)
1.26191468896039e+02	(9.57281958740239e+01dB,-8.99492845213249e+01°)
1.58865646944856e+02	(9.37281974793267e+01dB,-8.99641824227235e+01°)
2.00000000000000e+02	(9.17281983284551e+01dB,-8.99771729111015e+01°)
2.51785082358834e+02	(8.97281986046615e+01dB,-8.99889477765659e+01°)
3.16978638492223e+02	(8.77281983674970e+01dB,-9.00001340702983e+01°)
3.99052462993776e+02	(8.57281975659073e+01dB,-9.00113275003412e+01°)
5.02377286301916e+02	(8.37281960267229e+01dB,-9.00231241559011e+01°)
6.32455532033676e+02	(8.17281934178336e+01dB,-9.00361522443730e+01°)
7.96214341106995e+02	(7.97281891759999e+01dB,-9.00511055469753e+01°)
1.00237446725455e+03	(7.77281823857396e+01dB,-9.00687803568353e+01°)
1.26191468896039e+03	(7.57281715813134e+01dB,-9.00901178712166e+01°)
1.58865646944856e+03	(7.37281544306706e+01dB,-9.01162542930193e+01°)
2.00000000000000e+03	(7.17281272320573e+01dB,-9.01485812837663e+01°)
2.51785082358834e+03	(6.97280841150520e+01dB,-9.01888199795351e+01°)
3.16978638492223e+03	(6.77280157738227e+01dB,-9.02391124515808e+01°)
3.99052462993776e+03	(6.57279074596952e+01dB,-9.03021353887329e+01°)
5.02377286301917e+03	(6.37277357997633e+01dB,-9.03812418624726e+01°)
6.32455532033677e+03	(6.17274637582001e+01dB,-9.04806383377142e+01°)
7.96214341106996e+03	(5.97270326576149e+01dB,-9.06056055848983e+01°)
1.00237446725455e+04	(5.77263495525747e+01dB,-9.07627737258496e+01°)
1.26191468896039e+04	(5.57252672650391e+01dB,-9.09604630052247e+01°)
1.58865646944857e+04	(5.37235528617216e+01dB,-9.12091023640436e+01°)
2.00000000000000e+04	(5.17208379915286e+01dB,-9.15217360551748e+01°)
2.51785082358834e+04	(4.97165409185802e+01dB,-9.19146214433499e+01°)
3.16978638492223e+04	(4.77097448088999e+01dB,-9.24079029102420e+01°)
3.99052462993777e+04	(4.56990094339607e+01dB,-9.30263061657351e+01°)
5.02377286301917e+04	(4.36820841109272e+01dB,-9.37997134652912e+01°)
6.32455532033677e+04	(4.16554805069336e+01dB,-9.47633174726319e+01°)
7.96214341106996e+04	(3.96138622739567e+01dB,-9.59567556700327e+01°)
1.00237446725455e+05	(3.75492337431627e+01dB,-9.74211391740929e+01°)
1.26191468896039e+05	(3.54500043166237e+01dB,-9.91922176368674e+01°)
1.58865646944857e+05	(3.33002405441248e+01dB,-1.01287360661486e+02°)
2.00000000000000e+05	(3.10798619700783e+01dB,-1.03684618935828e+02°)
2.51785082358834e+05	(2.87670940330872e+01dB,-1.06296027132776e+02°)
3.16978638492223e+05	(2.63445703178582e+01dB,-1.08946679429702e+02°)
3.99052462993777e+05	(2.38088866102179e+01dB,-1.11382869635822e+02°)
5.02377286301917e+05	(2.11796344208096e+01dB,-1.13332111569752e+02°)
6.32455532033677e+05	(1.85007137220612e+01dB,-1.14608324424435e+02°)
7.96214341106997e+05	(1.58292509518879e+01dB,-1.15209791660512e+02°)
1.00237446725455e+06	(1.32161907381747e+01dB,-1.15344751788938e+02°)
1.26191468896039e+06	(1.06895504808673e+01dB,-1.15366444702325e+02°)
1.58865646944857e+06	(8.24880340360657e+00dB,-1.15664113431569e+02°)
2.00000000000001e+06	(5.86972954590870e+00dB,-1.16574554331554e+02°)
2.51785082358834e+06	(3.51293809261840e+00dB,-1.18342124098609e+02°)
3.16978638492224e+06	(1.13051520107693e+00dB,-1.21111796284079e+02°)
3.99052462993777e+06	(-1.32995476917162e+00dB,-1.24927362016502e+02°)
5.02377286301918e+06	(-3.92139413011247e+00dB,-1.29721941719703e+02°)
6.32455532033678e+06	(-6.69051075655303e+00dB,-1.35311565989590e+02°)
7.96214341106997e+06	(-9.66839998724647e+00dB,-1.41418297600807e+02°)
1.00237446725455e+07	(-1.28624405013047e+01dB,-1.47742569389360e+02°)
1.26191468896039e+07	(-1.62543209218976e+01dB,-1.54075408425244e+02°)
1.58865646944857e+07	(-1.98040063242695e+01dB,-1.60421765574888e+02°)
2.00000000000001e+07	(-2.34512836858440e+01dB,-1.67125329057122e+02°)
2.51785082358834e+07	(-2.70972205283370e+01dB,-1.75009956299252e+02°)
3.16978638492224e+07	(-3.05316470892651e+01dB,1.74559534909269e+02°)
3.99052462993777e+07	(-3.32821302925801e+01dB,1.60412293779935e+02°)
5.02377286301918e+07	(-3.46295401300731e+01dB,1.44417910659011e+02°)
6.32455532033678e+07	(-3.42375184670675e+01dB,1.33294018026228e+02°)
7.96214341106997e+07	(-3.17985055909409e+01dB,1.37950352786636e+02°)
1.00000000000000e+08	(-2.50044251022014e+01dB,6.64654027846865e+00°)
Step Information: Cl=2n  (Step: 4/15)
2.00000000000000e+01	(1.11728009282812e+02dB,-8.96208725314361e+01°)
2.51785082358833e+01	(1.09728080020249e+02dB,-8.96995563756760e+01°)
3.16978638492223e+01	(1.07728124649014e+02dB,-8.97622417689245e+01°)
3.99052462993776e+01	(1.05728152801594e+02dB,-8.98122662693017e+01°)
5.02377286301916e+01	(1.03728170554467e+02dB,-8.98522935988356e+01°)
6.32455532033676e+01	(1.01728181739396e+02dB,-8.98844551724845e+01°)
7.96214341106995e+01	(9.97281887706883e+01dB,-8.99104636397012e+01°)
1.00237446725454e+02	(9.77281931660179e+01dB,-8.99317040070287e+01°)
1.26191468896039e+02	(9.57281958740715e+01dB,-8.99493073853560e+01°)
1.58865646944856e+02	(9.37281974794021e+01dB,-8.99642112045542e+01°)
2.00000000000000e+02	(9.17281983285750e+01dB,-8.99772091463686e+01°)
2.51785082358834e+02	(8.97281986048515e+01dB,-8.99889933938754e+01°)
3.16978638492223e+02	(8.77281983677982e+01dB,-9.00001914990228e+01°)
3.99052462993776e+02	(8.57281975663847e+01dB,-9.00113997988936e+01°)
5.02377286301916e+02	(8.37281960274798e+01dB,-9.00232151744857e+01°)
6.32455532033676e+02	(8.17281934190334e+01dB,-9.00362668301244e+01°)
7.96214341106995e+02	(7.97281891779015e+01dB,-9.00512498017905e+01°)
1.00237446725455e+03	(7.77281823887535e+01dB,-9.00689619628844e+01°)
1.26191468896039e+03	(7.57281715860902e+01dB,-9.00903464999531e+01°)
1.58865646944856e+03	(7.37281544382415e+01dB,-9.01165421194152e+01°)
2.00000000000000e+03	(7.17281272440564e+01dB,-9.01489436359272e+01°)
2.51785082358834e+03	(6.97280841340692e+01dB,-9.01892761542213e+01°)
3.16978638492223e+03	(6.77280158039622e+01dB,-9.02396867419993e+01°)
3.99052462993776e+03	(6.57279075074619e+01dB,-9.03028583785775e+01°)
5.02377286301917e+03	(6.37277358754648e+01dB,-9.03821520548014e+01°)
6.32455532033677e+03	(6.17274638781698e+01dB,-9.04817842060345e+01°)
7.96214341106996e+03	(5.97270328477311e+01dB,-9.06070481558876e+01°)
1.00237446725455e+04	(5.77263498538300e+01dB,-9.07645898315247e+01°)
1.26191468896039e+04	(5.57252677423500e+01dB,-9.09627493795314e+01°)
1.58865646944857e+04	(5.37235536178401e+01dB,-9.12119808039880e+01°)
2.00000000000000e+04	(5.17208391889715e+01dB,-9.15253599263320e+01°)
2.51785082358834e+04	(4.97165428140827e+01dB,-9.19191838856090e+01°)
3.16978638492223e+04	(4.77097478072686e+01dB,-9.24136471993607e+01°)
3.99052462993777e+04	(4.56990141715617e+01dB,-9.30335388186922e+01°)
5.02377286301917e+04	(4.36820915834128e+01dB,-9.38088208570924e+01°)
6.32455532033677e+04	(4.16554922605070e+01dB,-9.47747869801425e+01°)
7.96214341106996e+04	(3.96138806818177e+01dB,-9.59712027055372e+01°)
1.00237446725455e+05	(3.75492623817445e+01dB,-9.74393419497581e+01°)
1.26191468896039e+05	(3.54500484248566e+01dB,-9.92151621184303e+01°)
1.58865646944857e+05	(3.33003074698075e+01dB,-1.01316298824974e+02°)
2.00000000000000e+05	(3.10799613653280e+01dB,-1.03721143782869e+02°)
2.51785082358834e+05	(2.87672374094389e+01dB,-1.06342167298174e+02°)
3.16978638492223e+05	(2.63447696259280e+01dB,-1.09005014297393e+02°)
3.99052462993777e+05	(2.38091520810418e+01dB,-1.11456664383297e+02°)
5.02377286301917e+05	(2.11799728965862e+01dB,-1.13425474925698e+02°)
6.32455532033677e+05	(1.85011291393029e+01dB,-1.14726402140032e+02°)
